Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0180 Non-Departmental,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
18026 Vehicle Replacements,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416089 Insurance Recovery,,,,,,,,"150,000","150,000",,,"150,000",,"150,000",,"154,500",,"159,135","163,909",,"168,826"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 18026,,,,,,,"150,000",,"150,000",,"150,000",,"150,000","154,500",,"159,135","163,909",,"168,826"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0180 Non-Departmental,,,,"150,000",,"150,000",,"150,000",,"150,000","154,500",,"159,135","163,909",,"168,826"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0190 Fire,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
19010 Fire Administration,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413063 Fire Permits,,,,,,,,"165,980",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
414073 Photo Copying Machine,,,,,,,,50,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415267 Blackwater Tower Lease - Use 414256,,,,,,,,"14,420",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415911 Initial Fire Inspection Fees,,,,,,,,"223,055",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415912 Special Events Fire Inspection Fee,,,,,,,,"15,050",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416061 City Treasurer Charges,,,,,,,,60,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"4,596",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416146 Reimbursement - Responsible Parties - Haz Mtls,,,,,,,,"9,447",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 19010,,,,,,,"432,658",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
19011 Emergency Management,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433225 Federal Emergency Management Agency,,,,,,,,"52,914","52,914",,,"52,914",,"52,914",,"52,914",,"52,914","52,914",,"52,914"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 19011,,,,,,,"52,914",,"52,914",,"52,914",,"52,914","52,914",,"52,914","52,914",,"52,914"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,13,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0190 Fire,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
19012 Fire Marshal's Office,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413063 Fire Permits,,,,,,,,0,"180,045",,,"180,045",,"180,045",,"183,646",,"187,319","191,065",,"194,886"
,,,,,,,,,,,,,,,,,,,,,
415022 Police - False Alarm Fees,,,,,,,,0,"4,603",,,"4,603",,"4,603",,"4,741",,"4,883","5,030",,"5,181"
,,,,,,,,,,,,,,,,,,,,,
415911 Initial Fire Inspection Fees,,,,,,,,0,"190,000",,,"190,000",,"190,000",,"195,700",,"201,571","207,618",,"213,847"
,,,,,,,,,,,,,,,,,,,,,
415912 Special Events Fire Inspection Fee,,,,,,,,0,"14,795",,,"14,795",,"14,795",,"15,239",,"15,696","16,167",,"16,652"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 19012,,,,,,,0,,"389,443",,"389,443",,"389,443","399,326",,"409,469","419,880",,"430,566"
,,,,,,,,,,,,,,,,,,,,,
19020 Fire Operations,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415022 Police - False Alarm Fees,,,,,,,,"3,076",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"17,452",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 19020,,,,,,,"20,528",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
19021 Fire Personnel and Development,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414155 Rental - Fire Training Center,,,,,,,,"13,550",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 19021,,,,,,,"13,550",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0190 Fire,,"519,650","442,357",,,"442,357",,"442,357",,"452,240",,"462,383","472,794",,"483,480"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0210 Communications and Information Technology,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
21010 Multimedia Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414308 Sale of Video Reproductions,,,,,,,,"14,593","22,000",,,"22,000",,"12,000",,"12,120",,"12,241","12,364",,"12,487"
,,,,,,,,,,,,,,,,,,,,,
418002 Receipts - Miscellaneous,,,,,,,,600,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 21010,,,,,,,"15,193",,"22,000",,"22,000",,"12,000","12,120",,"12,241","12,364",,"12,487"
,,,,,,,,,,,,,,,,,,,,,
21114 Mail Service,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"2,579",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 21114,,,,,,,"2,579",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
21120 ComIT Business Center,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414073 Photo Copying Machine,,,,,,,,75,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 21120,,,,,,,75,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
21122 Support Center,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415002 Data Processing Services,,,,,,,,"3,388",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 21122,,,,,,,"3,388",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
21123 Systems Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"1,388",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 21123,,,,,,,"1,388",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
21124 Center for Geospatial Information Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415128 Maps and Digital Data,,,,,,,,365,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 21124,,,,,,,365,,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
0210 Communications and Information Technology,,,,,,,,"22,988","22,000",,,"22,000",,"12,000",,"12,120",,"12,241","12,364",,"12,487"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0220 Emergency Communications and Citizen Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
22010 Emergency Communications,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,144,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422359 Virginia Wireless E-911 Service,,,,,,,,"1,401,828","1,769,543",,,"1,769,543",,"1,614,419",,"1,614,419",,"1,614,419","1,614,419",,"1,614,419"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 22010,,,,,,,"1,401,972",,"1,769,543",,"1,769,543",,"1,614,419","1,614,419",,"1,614,419","1,614,419",,"1,614,419"
,,,,,,,,,,,,,,,,,,,,,
0220 Emergency Communications and Citizen Services,,,,,,,,"1,401,972","1,769,543",,,"1,769,543",,"1,614,419",,"1,614,419",,"1,614,419","1,614,419",,"1,614,419"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,14,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0240 Human Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
24001 Central Administraton,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"-3,098",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"126,919","132,584",,,"132,584",,"132,584",,"134,573",,"136,591","138,640",,"140,720"
,,,,,,,,,,,,,,,,,,,,,
422105 State Public Assistance Grants,,,,,,,,0,"43,112",,,"43,112",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422166 Miscellaneous State Revenue,,,,,,,,0,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433072 Federal Public Assistance Grants,,,,,,,,0,"133,588",,,"133,588",,"176,700",,"176,700",,"176,700","176,700",,"176,700"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24001,,,,,,,"123,821",,"309,284",,"309,284",,"309,284","311,273",,"313,291","315,340",,"317,420"
,,,,,,,,,,,,,,,,,,,,,
24002 Information Technology Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"72,405","72,405",,,"72,405",,"72,405",,"73,491",,"74,593","75,712",,"76,848"
,,,,,,,,,,,,,,,,,,,,,
433072 Federal Public Assistance Grants,,,,,,,,0,"88,966",,,"88,966",,"88,966",,"88,966",,"88,966","88,966",,"88,966"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24002,,,,,,,"72,405",,"161,371",,"161,371",,"161,371","162,457",,"163,559","164,678",,"165,814"
,,,,,,,,,,,,,,,,,,,,,
24003 Reimbursement,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"13,660","45,667",,,"45,667",,"15,000",,"15,450",,"15,914","16,391",,"16,883"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24003,,,,,,,"13,660",,"45,667",,"45,667",,"15,000","15,450",,"15,914","16,391",,"16,883"
,,,,,,,,,,,,,,,,,,,,,
24004 Quality Assurance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"2,258","3,000",,,"3,000",,"3,000",,"3,090",,"3,183","3,278",,"3,377"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24004,,,,,,,"2,258",,"3,000",,"3,000",,"3,000","3,090",,"3,183","3,278",,"3,377"
,,,,,,,,,,,,,,,,,,,,,
24005 Personnel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,252,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422105 State Public Assistance Grants,,,,,,,,0,"8,843",,,"8,843",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433072 Federal Public Assistance Grants,,,,,,,,0,"27,401",,,"27,401",,"36,244",,"36,244",,"36,244","36,244",,"36,244"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24005,,,,,,,252,,"36,244",,"36,244",,"36,244","36,244",,"36,244","36,244",,"36,244"
,,,,,,,,,,,,,,,,,,,,,
24006 Accounts Payable,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422105 State Public Assistance Grants,,,,,,,,0,"23,945",,,"23,945",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433072 Federal Public Assistance Grants,,,,,,,,0,"202,123",,,"202,123",,"226,068",,"226,068",,"226,068","226,068",,"226,068"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24006,,,,,,,0,,"226,068",,"226,068",,"226,068","226,068",,"226,068","226,068",,"226,068"
,,,,,,,,,,,,,,,,,,,,,
24007 Transportation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"3,879","4,000",,,"4,000",,"4,000",,"4,120",,"4,244","4,371",,"4,502"
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,140,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415569 Medicaid Transportation,,,,,,,,"524,851","475,000",,,"475,000",,"476,699",,"491,000",,"505,730","520,902",,"536,529"
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"19,373",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,19,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422069 MR Medicaid Transportation,,,,,,,,"21,063",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24007,,,,,,,"569,325",,"479,000",,"479,000",,"480,699","495,120",,"509,974","525,273",,"541,031"
,,,,,,,,,,,,,,,,,,,,,
24101 MHSA Program Support,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"1,102",500,,,500,,531,,547,,563,580,,598
,,,,,,,,,,,,,,,,,,,,,
415220 Mental Health - Other,,,,,,,,7,0,,,0,,11,,11,,12,12,,12
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"96,244","95,285",,,"95,285",,"98,092",,"99,563",,"101,057","102,573",,"104,111"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24101,,,,,,,"97,353",,"95,785",,"95,785",,"98,634","100,122",,"101,632","103,165",,"104,721"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,15,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0240 Human Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
24102 Senior Adult Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"1,129","2,200",,,"2,200",,980,,"1,009",,"1,040","1,071",,"1,103"
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,"7,653","8,085",,,"8,085",,"8,398",,"8,650",,"8,909","9,177",,"9,452"
,,,,,,,,,,,,,,,,,,,,,
415060 Sentara Medicaid,,,,,,,,"1,030","1,517",,,"1,517",,110,,113,,117,120,,124
,,,,,,,,,,,,,,,,,,,,,
415220 Mental Health - Other,,,,,,,,148,441,,,441,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"1,429",0,,,0,,631,,650,,669,690,,710
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,0,"56,000",,,"56,000",,"56,000",,"56,840",,"57,693","58,558",,"59,436"
,,,,,,,,,,,,,,,,,,,,,
422062 State Medicaid - MH,,,,,,,,68,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433031 SEVAMP Grant,,,,,,,,"48,516","52,000",,,"52,000",,"52,000",,"52,000",,"52,000","52,000",,"52,000"
,,,,,,,,,,,,,,,,,,,,,
433070 Substance Abuse - Federal - ADA MHA Block Grant 97,,,,,,,,166,"9,060",,,"9,060",,"9,060",,"9,060",,"9,060","9,060",,"9,060"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24102,,,,,,,"60,139",,"129,303",,"129,303",,"127,179","128,323",,"129,488","130,675",,"131,885"
,,,,,,,,,,,,,,,,,,,,,
24103 Adult Outpatient Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"109,602","103,609",,,"103,609",,"127,990",,"131,830",,"135,785","139,858",,"144,054"
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,"145,227","158,808",,,"158,808",,"149,790",,"154,284",,"158,912","163,680",,"168,590"
,,,,,,,,,,,,,,,,,,,,,
415054 State Rehabilitation Services,,,,,,,,"5,640","3,888",,,"3,888",,"5,606",,"5,774",,"5,947","6,126",,"6,310"
,,,,,,,,,,,,,,,,,,,,,
415060 Sentara Medicaid,,,,,,,,"50,124","49,532",,,"49,532",,"51,436",,"52,979",,"54,568","56,206",,"57,892"
,,,,,,,,,,,,,,,,,,,,,
415220 Mental Health - Other,,,,,,,,107,140,,,140,,3,,3,,3,3,,3
,,,,,,,,,,,,,,,,,,,,,
415505 MHSA - Probation/Pre-Trial,,,,,,,,"3,960","2,190",,,"2,190",,"30,120",,"31,024",,"31,954","32,913",,"33,900"
,,,,,,,,,,,,,,,,,,,,,
415506 Contracts - Other,,,,,,,,"3,957",0,,,0,,"11,235",,"11,572",,"11,919","12,277",,"12,645"
,,,,,,,,,,,,,,,,,,,,,
415551 Handling Fee - Medications,,,,,,,,109,200,,,200,,75,,77,,80,82,,84
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"87,295","26,100",,,"26,100",,"90,203",,"92,909",,"95,696","98,567",,"101,524"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"630,773","1,822,574",,,"1,822,574",,"1,823,516",,"1,850,869",,"1,878,632","1,906,811",,"1,935,413"
,,,,,,,,,,,,,,,,,,,,,
422058 Day Treatment Program,,,,,,,,"11,974",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422062 State Medicaid - MH,,,,,,,,"2,908",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433070 Substance Abuse - Federal - ADA MHA Block Grant 97,,,,,,,,"75,784","75,784",,,"75,784",,"75,784",,"75,784",,"75,784","75,784",,"75,784"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433269 SA - Drug Federal Block Grant,,,,,,,,"119,230","117,784",,,"117,784",,"117,784",,"117,784",,"117,784","117,784",,"117,784"
,,,,,,,,,,,,,,,,,,,,,
433337 Psychiatric Staff Support,,,,,,,,"15,456","16,899",,,"16,899",,"16,899",,"16,899",,"16,899","16,899",,"16,899"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24103,,,,,,,"1,262,146",,"2,377,508",,"2,377,508",,"2,500,441","2,541,787",,"2,583,964","2,626,989",,"2,670,883"
,,,,,,,,,,,,,,,,,,,,,
24104 MH Community Rehabilitation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"3,484","3,000",,,"3,000",,"5,087",,"5,240",,"5,397","5,559",,"5,725"
,,,,,,,,,,,,,,,,,,,,,
415051 Community Rehabilitation Fees,,,,,,,,"19,202","18,040",,,"18,040",,"19,122",,"19,696",,"20,287","20,895",,"21,522"
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"847,491","961,168",,,"961,168",,"872,269",,"898,437",,"925,390","953,152",,"981,746"
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"3,432",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"548,232","435,571",,,"435,571",,"435,571",,"442,105",,"448,736","455,467",,"462,299"
,,,,,,,,,,,,,,,,,,,,,
422062 State Medicaid - MH,,,,,,,,"7,560",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433450 USDA - Juvenile Detention Center,,,,,,,,"12,839",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433453 USDA,,,,,,,,"39,638","52,611",,,"52,611",,"52,611",,"52,611",,"52,611","52,611",,"52,611"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24104,,,,,,,"1,481,878",,"1,470,390",,"1,470,390",,"1,384,660","1,418,088",,"1,452,421","1,487,684",,"1,523,904"
,,,,,,,,,,,,,,,,,,,,,
24105 MH Emergency Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"19,988","22,393",,,"22,393",,"24,158",,"24,883",,"25,629","26,398",,"27,190"
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,"1,105",596,,,596,,565,,582,,599,617,,636
,,,,,,,,,,,,,,,,,,,,,
415060 Sentara Medicaid,,,,,,,,341,456,,,456,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"50,697","52,696",,,"52,696",,"51,959",,"53,518",,"55,123","56,777",,"58,480"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"1,394,249","779,160",,,"779,160",,"779,160",,"790,847",,"802,710","814,751",,"826,972"
,,,,,,,,,,,,,,,,,,,,,
422062 State Medicaid - MH,,,,,,,,"1,262",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433031 SEVAMP Grant,,,,,,,,"4,767",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 24105,,,,,,,"1,472,409",,"855,301",,"855,301",,"855,842","869,830",,"884,062","898,543",,"913,278"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,16,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,002 General Fund,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0240 Human Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
24106 Child and Youth Services,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415047 MH/MR/SA Self-Pay,,,,,,,,"27,726","22,966",,,"22,966",,"27,726",,"28,558",,"29,415","30,297",,"31,206"
,,,,,,,,,,,,,,,,,,,,,
415048 Other Insurance,,,,,,,,"79,654","63,662",,,"63,662",,"90,916",,"93,643",,"96,453","99,346",,"102,327"
,,,,,,,,,,,,,,,,,,,,,
415060 Sentara Medicaid,,,,,,,,"53,487","57,747",,,"57,747",,"81,260",,"83,698",,"86,209","88,795",,"91,459"
,,,,,,,,,,,,,,,,,,,,,
415511 Restoration Counseling - State,,,,,,,,0,0,,,0,,"52,000",,"53,560",,"55,167","56,822",,"58,526"
,,,,,,,,,,,,,,,,,,,,,
415552 CSA - DSS,,,,,,,,"425,710","488,900",,,"488,900",,"35,000",,"36,050",,"37,132","38,245",,"39,393"
,,,,,,,,,,,,,,,,,,,,,
415553 CSA-Parental Agreement,,,,,,,,0,0,,,0,,"50,940",,"52,468",,"54,042","55,664",,"57,333"
,,,,,,,,,,,,,,,,,,,,,
415562 Medicaid MH,,,,,,,,"734,744","760,084",,,"760,084",,"875,270",,"901,528",,"928,574","956,431",,"985,124"
,,,,,,,,,,,,,,,,,,,,,
422056 Mental Health and Retardation,,,,,,,,"223,014","189,399",,,"189,399",,"189,399",,"192,240",,"195,124","198,050",,"201,021"
,,,,,,,,,,,,,,,,,,,,,
