"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"5,545",,"5,545",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601720,,Overtime and Fringe Benefit Increases,,,,,,0,641,,641,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601730,,Part-Time Salary and Fringe Benefit Increases,,,,,,0,"1,303",,"1,303",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"34,126","36,126",,"36,126","36,080",,"36,080",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"7,997","8,449",,"8,449","8,438",,"8,438",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"76,667","77,992",,"77,992","81,930",,"81,930",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"38,250","43,200",,"43,200","43,200",,"43,200",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"3,815","4,213",,"4,213","4,756",,"4,756",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602403,,Employee Service Awards,,,,,,100,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,360,360,,360,720,,720,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602980,,Clothing Allowance,,,,,,150,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604201,,City Garage Charges,,,,,,"58,857","60,034",,"60,034","60,034",,"60,034",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604203,,City Garage - Fuel,,,,,,"46,585","73,495",,"73,495","73,495",,"73,495",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,271,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"3,500","3,570",,"3,570","3,570",,"3,570",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"1,443","2,341",,"2,341","2,341",,"2,341",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,0,"2,040",,"2,040",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,31,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:03:25PM - ET,,,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0090 Police    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09025 Marine Patrol ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,95,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606005,,Custodial and Cleaning Supplies,,,,,,14,"2,295",,"2,295","2,295",,"2,295",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606424,,Police Supplies,,,,,,385,"3,060",,"3,060","3,060",,"3,060",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606425,,Uniforms and Wearing Apparel,,,,,,"1,619","2,601",,"2,601","2,601",,"2,601",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606426,,Protective Apparel and Supplies,,,,,,178,"3,745",,"3,745","3,745",,"3,745",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606431,,Marine Navigation Supplies,,,,,,431,"5,100",,"5,100","5,100",,"5,100",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
608010,,Lease/Rent of Buildings,,,,,,"13,546","13,005",,"13,005","13,005",,"13,005",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09025 Marine Patrol ,,,,,,,,"834,873","931,445",,"931,445","925,574",,"925,567",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09026 School Resource Officer Program ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"874,307",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601160,,Protective Service Salaries,,,,,,"867,033","1,729,478",,"1,729,478","1,687,284",,"1,687,284",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601211,,Overtime,,,,,,"14,541",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601260,,Protective Service Overtime,,,,,,"28,785","92,585",,"92,585","90,818",,"90,815",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"20,327",,"20,327",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601720,,Overtime and Fringe Benefit Increases,,,,,,0,997,,997,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"106,744","112,964",,"112,964","110,240",,"110,239",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"24,983","26,421",,"26,421","25,786",,"25,786",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"285,436","284,475",,"284,475","296,046",,"296,046",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"145,800","162,000",,"162,000","162,000",,"162,000",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"14,202","15,364",,"15,364","17,177",,"17,177",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,189,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602320,,Refund Health Ins Overpayement,,,,,,281,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602980,,Clothing Allowance,,,,,,50,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"3,802","3,878",,"3,878","3,878",,"3,878",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,27,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606424,,Police Supplies,,,,,,297,"9,679",,"9,679","9,679",,"9,679",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606425,,Uniforms and Wearing Apparel,,,,,,"4,564","2,081",,"2,081","2,081",,"2,081",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09026 School Resource Officer ,,,,,,,,"2,371,041","2,460,249",,"2,460,249","2,404,989",,"2,404,985",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09028 Investigative Division ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,"232,677","460,317",,"460,317","422,574",,"422,574",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"3,918,311",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601140,,Supervisory Salaries,,,,,,"452,238","1,002,324",,"1,002,324","904,111",,"904,111",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601150,,Technical Salaries,,,,,,"363,933","613,215",,"613,215","728,999",,"728,999",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601160,,Protective Service Salaries,,,,,,"2,701,040","5,202,336",,"5,202,336","5,131,704",,"5,131,704",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601170,,Clerical Salaries,,,,,,"261,558","508,332",,"508,332","524,835",,"524,835",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601211,,Overtime,,,,,,"222,103",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601240,,Supervisory Overtime,,,,,,"18,020","44,830",,"44,830","46,392",,"46,400",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601250,,Technical Overtime,,,,,,"11,460","17,051",,"17,051","18,471",,"18,475",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601260,,Protective Service Overtime,,,,,,"240,881","429,118",,"429,118","453,463",,"453,412",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601270,,Clerical Overtime,,,,,,651,"2,940",,"2,940","3,185",,"3,186",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601370,,Part-Time Clerical Salaries,,,,,,0,"44,290",,"44,290","44,290",,"44,290",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601401,,Contracted Manpower,,,,,,"10,432","10,280",,"10,280","10,280",,"10,280",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"117,705",,"117,705",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601720,,Overtime and Fringe Benefit Increases,,,,,,0,"5,300",,"5,300",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"512,360","519,161",,"519,161","517,076",,"517,074",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"119,999","121,611",,"121,611","120,926",,"120,925",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"1,289,679","1,278,543",,"1,278,543","1,350,625",,"1,350,625",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"726,619","777,600",,"777,600","766,800",,"766,800",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"64,131","69,058",,"69,058","78,372",,"78,372",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602307,,Unemployment Insurance,,,,,,116,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,619,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,32,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:03:25PM - ET,,,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0090 Police    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09028 Investigative Division ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602320,,Refund Health Ins Overpayement,,,,,,134,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602403,,Employee Service Awards,,,,,,100,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,"2,140",0,,0,"4,680",,"4,680",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602980,,Clothing Allowance,,,,,,"62,789","61,800",,"61,800","56,988",,"56,988",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603101,,Professional Health Services,,,,,,"12,240","19,379",,"19,379","19,379",,"19,379",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603102,,Legal Services,,,,,,692,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603119,,Police Record Checks,,,,,,37,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,"23,435","37,740",,"37,740","30,954",,"30,954",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603204,,Software Support and Maintenance,,,,,,"2,864",0,,0,"6,786",,"6,786",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603406,,Refuse Disposal Services,,,,,,"1,180","1,530",,"1,530","1,530",,"1,530",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"4,257","3,859",,"3,859","4,500",,"4,500",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,"50,348","55,080",,"55,080","55,080",,"55,080",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604201,,City Garage Charges,,,,,,"115,779","118,054",,"118,054","118,054",,"118,054",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604203,,City Garage - Fuel,,,,,,"87,070","104,040",,"104,040","104,040",,"104,040",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"11,516","13,158",,"13,158","12,662",,"12,662",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"351,643","358,568",,"358,568","358,568",,"358,568",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,399,765,,765,765,,765,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,"43,180","44,880",,"44,880","44,880",,"44,880",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"5,510","2,295",,"2,295","2,295",,"2,295",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,643,"3,060",,"3,060","3,060",,"3,060",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605507,,Mandated Certification,,,,,,"15,473","29,376",,"29,376","29,376",,"29,376",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605616,,Contribution - Crime Solvers,,,,,,0,"2,040",,"2,040","2,040",,"2,040",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,"2,703","2,550",,"2,550","2,550",,"2,550",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605805,,Confidential Account,,,,,,0,510,,510,510,,510,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"23,181","33,405",,"33,405","33,405",,"33,405",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606016,,Radio Communication Equipment,,,,,,"5,852",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606099,,P-Card Purchases,,,,,,"13,865",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606111,,"Computer Software < $5,000",,,,,,"3,527","2,040",,"2,040","2,794",,"2,794",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606112,,Computer Peripherals,,,,,,"2,878","3,030",,"3,030","3,030",,"3,030",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606412,,Books and Subscriptions,,,,,,"2,700","1,836",,"1,836","1,836",,"1,836",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606415,,Computer Supplies,,,,,,"3,838","2,265",,"2,265","2,265",,"2,265",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606420,,Food and Food Service Supplies,,,,,,346,357,,357,357,,357,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606421,,Agricultural Supplies,,,,,,10,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606424,,Police Supplies,,,,,,"3,477","5,355",,"5,355","4,601",,"4,601",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606425,,Uniforms and Wearing Apparel,,,,,,"7,259","9,690",,"9,690","9,690",,"9,690",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606426,,Protective Apparel and Supplies,,,,,,"1,502","1,530",,"1,530","1,530",,"1,530",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606429,,Photographic Supplies,,,,,,"23,216","43,860",,"43,860","43,219",,"43,219",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606435,,Other Operating Supplies,,,,,,"2,186","2,397",,"2,397","2,397",,"2,397",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
607801,,Replace Computer Workstation,,,,,,"3,957",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
607831,,New Computer Workstation,,,,,,541,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09028 Investigative Division ,,,,,,,,"12,039,294","12,188,460",,"12,188,460","12,085,924",,"12,085,883",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09029 Special Investigative Unit ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601110,,Middle Management Salaries,,,,,,"128,867","255,205",,"255,205","254,133",,"254,133",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601111,,Full Time Salaries,,,,,,"1,481,082",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601130,,Professional Salaries,,,,,,"55,345","43,591",,"43,591","44,682",,"44,682",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601140,,Supervisory Salaries,,,,,,"214,503","432,710",,"432,710","355,994",,"355,994",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601160,,Protective Service Salaries,,,,,,"1,195,849","2,296,953",,"2,296,953","2,246,971",,"2,246,971",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601170,,Clerical Salaries,,,,,,"31,268","86,935",,"86,935","62,536",,"62,536",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601211,,Overtime,,,,,,"112,154",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601240,,Supervisory Overtime,,,,,,"4,157","25,185",,"25,185","27,283",,"27,282",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601260,,Protective Service Overtime,,,,,,"58,981","159,268",,"159,268","164,631",,"164,625",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,33,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12/5/2013   4:03:25PM - ET,,,,,,,
"Expenditure Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,Fiscal Year 2011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Account,,,,,,,,FY 2009,FY 2010,,FY 2010,FY 2011,,FY 2012,FY 2013,,FY 2014,,FY 2015,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Code,Account Description,,,,,,,Actual,Adopted,,Amended,Budget,,Budget,Budget,,Budget,,Budget,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,     002 General Fund     ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 0090 Police    ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
09029 Special Investigative Unit ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601710,,Full-Time Salary and Fringe Benefit Increases,,,,,,0,"41,385",,"41,385",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
601720,,Overtime and Fringe Benefit Increases,,,,,,0,"1,674",,"1,674",0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602101,,F.I.C.A.,,,,,,"201,039","206,325",,"206,325","197,287",,"197,287",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602104,,F.I.C.A. - Medicare,,,,,,"47,019","48,257",,"48,257","46,137",,"46,137",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602201,,Retirement,,,,,,"506,956","512,144",,"512,144","519,999",,"519,999",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602301,,Health Insurance,,,,,,"266,617","297,000",,"297,000","280,800",,"280,800",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602302,,Life Insurance,,,,,,"25,225","27,664",,"27,664","30,177",,"30,177",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602309,,Flexible Benefits Program,,,,,,43,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602403,,Employee Service Awards,,,,,,200,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602950,,Cell Phone Stipend,,,,,,550,360,,360,360,,360,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
602980,,Clothing Allowance,,,,,,"28,693","27,600",,"27,600","25,392",,"25,392",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603101,,Professional Health Services,,,,,,"3,551","4,080",,"4,080","4,080",,"4,080",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603165,,Information Technology Services,,,,,,300,0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603201,,General Maintenance and Repair,,,,,,"2,357","3,060",,"3,060","3,060",,"3,060",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603204,,Software Support and Maintenance,,,,,,"1,300",0,,0,0,,0,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
603407,,Other Contractual Services,,,,,,"4,763","1,530",,"1,530","1,530",,"1,530",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604103,,Telecommunications - Internal,,,,,,767,816,,816,816,,816,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604201,,City Garage Charges,,,,,,"62,629","63,882",,"63,882","63,882",,"63,882",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604203,,City Garage - Fuel,,,,,,"60,140","56,100",,"56,100","56,100",,"56,100",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604401,,Print Shop Charges,,,,,,"7,217","6,936",,"6,936","3,132",,"3,132",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
604501,,Risk Management Charges,,,,,,"22,992","23,452",,"23,452","23,452",,"23,452",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605201,,Postal Services,,,,,,825,816,,816,816,,816,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605203,,Telecommunications,,,,,,"21,160","24,480",,"24,480","24,480",,"24,480",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605501,,Professional Improvement,,,,,,"9,023","11,945",,"11,945","11,945",,"11,945",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605502,,Travel - Routine,,,,,,114,"1,020",,"1,020","1,020",,"1,020",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605507,,Mandated Certification,,,,,,0,918,,918,918,,918,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605801,,Dues and Association Membership,,,,,,772,"1,183",,"1,183","1,183",,"1,183",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
605805,,Confidential Account,,,,,,"31,565","33,660",,"33,660","33,660",,"33,660",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606001,,Office Supplies,,,,,,"7,444","9,084",,"9,084","9,084",,"9,084",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606004,,Medical Supplies,,,,,,0,510,,510,510,,510,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606005,,Custodial and Cleaning Supplies,,,,,,0,204,,204,204,,204,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
606111,,"Computer Software < $5,000",,,,,,0,0,,0,"1,508",,"1,508",0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
